Country Name,Year,GDP,Population,GHG,GDP_per_capita,GHG_per_capita
Belarus,2020,61371673344.7424,9379952,89940.28,6542.855799767674,0.009588565058755098
Belgium,2020,529694473501.791,11538604,107272.65,45906.287580524564,0.00929684821491404
Bulgaria,2020,70486877546.4901,6550696,47984.62,10760.211975413009,0.0073251178195416185
Canada,2020,1655684730000.19,38028638,658788.39,43537.83929890389,0.017323481056565844
Croatia,2020,57959843541.3699,3914206,23906.82,14807.560854326497,0.0061077061350373486
Cyprus,2020,25555093854.2968,1302247,8502.86,19623.845441223362,0.006529375763584021
Czechia,2020,251109660602.536,10697858,113072.05,23472.891545441715,0.010569597203477556
Denmark,2020,355631021931.621,5831404,44483.8,60985.488560151374,0.007628317297172346
Finland,2020,270000311606.226,5529543,47756.28,48828.68468627986,0.008636569061855564
France,2020,2647926055110.05,67601110,398297.03,39169.860600070766,0.005891871154186669
Germany,2020,3941398957073.94,83160871,730922.69,47394.8734504469,0.00878926207975864
Greece,2020,191362985554.861,10698599,75464.49,17886.733165236026,0.007053679645344218
Hungary,2020,158468487754.196,9670419,62965.32,16386.93088212579,0.00651112635347031
Iceland,2020,22034665040.7901,366463,4521.06,60127.93935756161,0.012337016288138231
Ireland,2020,436009027818.948,5039747,59056.3,86514.07061087551,0.01171810807169487
Italy,2020,1907481094079.23,59438851,384969.88,32091.48666213669,0.006476738253234404
Japan,2020,5054068005376.28,126261000,1144932.5,40028.73417267628,0.00906798219561068
Kazakhstan,2020,171082365861.423,19482117,333970.96,8781.507977876481,0.017142436830658598
Liechtenstein,2020,6405870210.32293,38901,180.87,164671.0935534544,0.004649494871597131
Luxembourg,2020,73670782100.3909,630419,9029.9,116860.02817235982,0.014323648240297325
Malta,2020,16404663226.4598,515490,2111.86,31823.436393450505,0.004096801101864246
Monaco,2020,6730736282.78961,38050,69.76,176891.88653849173,0.001833377135348226
Netherlands,2020,932560861701.17,17441500,164367.79,53467.927741373736,0.00942394805492647
New Zealand,2020,213029554653.687,5072400,77330.66,41997.78303242785,0.015245378913334912
Norway,2020,367633418886.627,5379475,49214.64,68340.01810337012,0.009148595355494728
Poland,2020,605914237903.742,37515748,371312.43,16150.930481347244,0.009897508374349885
Portugal,2020,229618773422.577,10297081,58029.35,22299.404406217353,0.0056355145696144375
Romania,2020,250625048303.578,19265250,112036.04,13009.177057322277,0.00581544698355848
Russian Federation,2020,1493075894362.14,145245148,2061109.86,10279.695500479918,0.014190559122842438
Slovak Republic,2020,107732602896.441,5458827,37187.89,19735.485828080098,0.006812432414509564
Slovenia,2020,53384760135.1581,2102419,15974.78,25392.065109361214,0.007598285593880192
Spain,2020,1289783836971.21,47359424,272244.36,27233.942646160773,0.005748472785479823
Sweden,2020,544265668451.678,10353442,46214.03,52568.57269801463,0.004463639241906218
Switzerland,2020,741999406005.627,8638167,43789.74,85897.78433383227,0.005069332417398274
Ukraine,2020,156617722013.342,44680014,318034.95,3505.3194480499046,0.007118058423168802
United Kingdom,2020,2724001478304.59,66744000,408965.08,40812.67946638784,0.00612736845259499
United States,2020,21060473613000.0,331577720,6025973.61,63515.94918078332,0.018173638476071313
